name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,cost,service_type,cuisine_count,price_range
KFC,No,Yes,3.8,2005,Indiranagar,Bakery,Biryani,"Mexican, Thai, Chinese, Desserts",600.0,Delivery,4,Moderate
Resto_511,No,No,3.4,1731,Mg Road,Bar,Dosa,"Desserts, North Indian",1500.0,Buffet,2,Expensive
Empire Restaurant,Yes,No,4.7,1177,Nan,Bakery,Pasta,"Fast Food, Beverages, Continental, Chinese, Italian",2000.0,Delivery,5,Expensive
Pizza Hut,Yes,Yes,3.2,2101,Jayanagar,Casual Dining,Sushi,"Fast Food, Desserts",200.0,Drinks & nightlife,2,Cheap
Resto_759,Yes,Yes,4.7,665,Koramangala,Bakery,Sushi,"Continental, Mexican",1200.0,Delivery,2,Expensive
Resto_109,No,No,2.8,2552,Indiranagar,Cafe,Sushi,Mexican,1200.0,Dine-out,1,Expensive
Pizza Hut,No,No,3.2,164,Hsr Layout,Bar,Pasta,"Chinese, Mexican, Beverages, Desserts, South Indian",3000.0,Buffet,5,Very Expensive
Resto_758,Yes,Yes,2.4,637,Jayanagar,Fine Dining,Pasta,"North Indian, Fast Food, Italian, Mexican",1000.0,Cafes,4,Moderate
Burger King,Yes,No,4.3,1871,Whitefield,Casual Dining,Sushi,"Italian, Continental",1000.0,Cafes,2,Moderate
Burger King,No,Yes,3.2,1768,Koramangala,Bar,Pasta,"Mexican, North Indian, Italian",1200.0,Cafes,3,Expensive
Nandhana Palace,No,No,2.2,1850,Hsr Layout,Fine Dining,Salad,"Chinese, Mexican, Desserts",2500.0,Pubs and bars,3,Very Expensive
Resto_649,Yes,No,4.1,2263,Marathahalli,Casual Dining,Salad,"Mexican, South Indian, Fast Food, Thai",1500.0,Delivery,4,Expensive
Resto_737,Yes,Yes,3.3,2615,Koramangala,Bar,Pizza,"Italian, Fast Food, Thai, Desserts, North Indian",1500.0,Drinks & nightlife,5,Expensive
Resto_150,Yes,No,4.2,2285,Hsr Layout,Bakery,Pizza,"Mexican, Desserts, South Indian",1200.0,Drinks & nightlife,3,Expensive
KFC,No,Yes,3.8,2776,Jayanagar,Fine Dining,Sushi,North Indian,1000.0,Pubs and bars,1,Moderate
Burger King,No,Yes,3.0,2199,Indiranagar,Casual Dining,Sushi,"Thai, South Indian",3000.0,Cafes,2,Very Expensive
KFC,Yes,No,2.2,980,Marathahalli,Bakery,Biryani,Italian,2000.0,Drinks & nightlife,1,Expensive
Nandhana Palace,Yes,No,2.9,1852,Nan,Bar,Pasta,"Desserts, South Indian, Beverages, Continental",2000.0,Pubs and bars,4,Expensive
Resto_870,No,No,3.8,257,Whitefield,Fine Dining,Burgers,"Continental, Fast Food, Italian",1200.0,Buffet,3,Expensive
KFC,Yes,No,3.0,968,Jayanagar,Casual Dining,Pasta,"Fast Food, Thai, Italian, Chinese, Desserts",800.0,Delivery,5,Moderate
Burger King,No,Yes,4.5,1147,Whitefield,Quick Service Restaurant,Burgers,"Thai, Mexican, Continental, South Indian, North Indian",200.0,Buffet,5,Cheap
Resto_372,Yes,No,4.2,2878,Hsr Layout,Bar,Dosa,"Thai, Fast Food",1000.0,Delivery,2,Moderate
Burger King,Yes,No,4.3,26,Jayanagar,Fine Dining,Pizza,"Thai, Continental, South Indian, Chinese",1200.0,Drinks & nightlife,4,Expensive
Resto_366,No,Yes,2.1,2329,Koramangala,Quick Service Restaurant,Burgers,"Chinese, Desserts",2000.0,Drinks & nightlife,2,Expensive
McDonald's,Yes,No,2.2,2013,Indiranagar,Cafe,Burgers,South Indian,800.0,Dine-out,1,Moderate
Burger King,No,Yes,3.4,1243,Jp Nagar,Cafe,Steak,"Thai, Fast Food, Beverages",2000.0,Delivery,3,Expensive
Burger King,No,Yes,2.8,2566,Jayanagar,Cafe,Dosa,"South Indian, North Indian, Beverages, Thai, Fast Food",1200.0,Buffet,5,Expensive
Resto_722,No,Yes,2.1,1329,Hsr Layout,Casual Dining,Biryani,"Continental, Desserts, Mexican, Thai, Fast Food",1200.0,Drinks & nightlife,5,Expensive
Leon Grill,No,No,2.2,2642,Marathahalli,Bakery,Steak,"Fast Food, South Indian, Continental, Chinese",1200.0,Delivery,4,Expensive
Nandhana Palace,Yes,Yes,3.7,737,Koramangala,Pub,Pizza,"Thai, Chinese, North Indian, Beverages",3000.0,Buffet,4,Very Expensive
KFC,No,No,3.8,304,Whitefield,Quick Service Restaurant,Burgers,"South Indian, Mexican, Desserts, North Indian",1000.0,Delivery,4,Moderate
Nandhana Palace,Yes,Yes,3.8,221,Whitefield,Pub,Burgers,Thai,2500.0,Dine-out,1,Very Expensive
Leon Grill,Yes,Yes,3.5,886,Marathahalli,Bar,Burgers,"Continental, North Indian, Mexican, Thai",800.0,Buffet,4,Moderate
Resto_417,Yes,Yes,4.3,557,Koramangala,Bakery,Burgers,"Continental, Thai",3000.0,Buffet,2,Very Expensive
Leon Grill,Yes,Yes,3.4,310,Marathahalli,Quick Service Restaurant,Steak,"Thai, Continental, South Indian, Mexican",400.0,Cafes,4,Cheap
Resto_875,No,Yes,4.7,2812,Mg Road,Cafe,Dosa,Fast Food,200.0,Drinks & nightlife,1,Cheap
Resto_175,No,No,3.7,489,Koramangala,Cafe,Dosa,"Beverages, North Indian",1500.0,Drinks & nightlife,2,Expensive
